label,pattern,replace
anoplura,Haematopinus tenuirostris,Linognathus vituli
anoplura,Haematopinus tibialis,Linognathus tibialis
anoplura,Haematopinus trichechi,Antarctophthirus trichechi
anoplura,Haematopinus tuberculatus,
anoplura,Haematopinus ungulatus,Linognathus angulatus
anoplura,Haematopinus urius,Haematopinus apri
anoplura,Haematopinus ventricosus,Haemodipsus ventricosus
anoplura,Haematopinus vituli,Linognathus vituli
anoplura,Haemodipsus africanus,
anoplura,Haemodipsus brachylagi,
anoplura,Haemodipsus conformalis,
anoplura,Haemodipsus janckei,Haemodipsus ventricosus
anoplura,Haemodipsus leporis,
anoplura,Haemodipsus lyriocephalus,
anoplura,Haemodipsus parvus,Lagidiophthirus parvus
anoplura,Haemodipsus setoni,
anoplura,Haemodipsus ventricosus,
anoplura,Hamophthirius galeopitheci,
anoplura,Hamophthirus galeopitheci,Hamophthirius galeopitheci
anoplura,Hasellus pleurophaeus,Schizophthirus pleurophaeus
anoplura,Hematopinus Polyplax praecisus,Polyplax praecisa
anoplura,Hoplophthirus euxeri,Enderleinellus euxeri
anoplura,Hoplopleura abeli,
anoplura,Hoplopleura abstrusus,
anoplura,Hoplopleura acanthopus,
anoplura,Hoplopleura acanthopus acanthopus,Hoplopleura acanthopus
anoplura,Hoplopleura acanthopus edentulus,Hoplopleura acanthopus
anoplura,Hoplopleura acanthopus edentulus,Hoplopleura edentula
anoplura,Hoplopleura aethomydis,
anoplura,Hoplopleura affinis,
anoplura,Hoplopleura affinis affinis,Hoplopleura affinis
anoplura,Hoplopleura affinis argentina,Hoplopleura argentina
anoplura,Hoplopleura aitkeni,
anoplura,Hoplopleura akanezumi,Hoplopleura affinis
anoplura,Hoplopleura alata,Pterophthirus alata
anoplura,Hoplopleura alstoni,
anoplura,Hoplopleura alticola,
anoplura,Hoplopleura andina,
anoplura,Hoplopleura angulata,
anoplura,Hoplopleura apomydis,
anoplura,Hoplopleura arboricola,
anoplura,Hoplopleura argentina,
anoplura,Hoplopleura arizonensis,
anoplura,Hoplopleura audax,Pterophthirus audax
anoplura,Hoplopleura auliscomydis,
anoplura,Hoplopleura bidentata,
anoplura,Hoplopleura bilobata,
anoplura,Hoplopleura biseriata,
anoplura,Hoplopleura blanfordi,
anoplura,Hoplopleura brasiliensis,
anoplura,Hoplopleura calabyi,
anoplura,Hoplopleura capensis,
anoplura,Hoplopleura captiosa,
anoplura,Hoplopleura chelemydis,
anoplura,Hoplopleura chilensis,
anoplura,Hoplopleura chippauxi,
anoplura,Hoplopleura chrotomydis,
anoplura,Hoplopleura chrysocomi,
anoplura,Hoplopleura colomydis,
anoplura,Hoplopleura confuciana,
anoplura,Hoplopleura contigua,
anoplura,Hoplopleura cooki,
anoplura,Hoplopleura cornata,
anoplura,Hoplopleura cricetuli,
anoplura,Hoplopleura cryptica,
anoplura,Hoplopleura cutchicus,
anoplura,Hoplopleura delticola,
anoplura,Hoplopleura dendromuris,
anoplura,Hoplopleura desmodilli,Hoplopleura capensis
anoplura,Hoplopleura diaphora,
anoplura,Hoplopleura difficilis,
anoplura,Hoplopleura disgrega,
anoplura,Hoplopleura disgrega chilensis,Hoplopleura chilensis
anoplura,Hoplopleura disgrega disgrega,Hoplopleura disgrega
anoplura,Hoplopleura dissicula,
anoplura,Hoplopleura dissimilis,
anoplura,Hoplopleura distorta,
anoplura,Hoplopleura edentula,
anoplura,Hoplopleura emarginata,Paradoxophthirus emarginata
anoplura,Hoplopleura emphereia,
anoplura,Hoplopleura enormis,
anoplura,Hoplopleura enormis enormis,Hoplopleura enormis
anoplura,Hoplopleura enormis mylomydis,Hoplopleura mylomydis
anoplura,Hoplopleura enormis pelomydis,Hoplopleura pelomydis
anoplura,Hoplopleura erismata,
anoplura,Hoplopleura erratica,
anoplura,Hoplopleura erratica arboricola,Hoplopleura arboricola
anoplura,Hoplopleura erratica erratica,Hoplopleura erratica
anoplura,Hoplopleura exima,
anoplura,Hoplopleura fahrenholzi,Hoplopleura acanthopus
anoplura,Hoplopleura ferrisi,
anoplura,Hoplopleura ferrisi emphereia,Hoplopleura emphereia
anoplura,Hoplopleura ferrisi ferrisi,Hoplopleura ferrisi
anoplura,Hoplopleura fonsecai,
anoplura,Hoplopleura funambuli,
anoplura,Hoplopleura griseoflavae,
anoplura,Hoplopleura gyomydis,
anoplura,Hoplopleura handleyi,
anoplura,Hoplopleura hesperomydis,
anoplura,Hoplopleura hesperomydis occidentalis,Hoplopleura hesperomydis
anoplura,Hoplopleura himalayana,
anoplura,Hoplopleura himenezumi,
anoplura,Hoplopleura hirsuta,
anoplura,Hoplopleura hispida,
anoplura,Hoplopleura hybomyis,
anoplura,Hoplopleura hylomysci,
anoplura,Hoplopleura ileile,
anoplura,Hoplopleura imitans,Pterophthirus imitans
anoplura,Hoplopleura imparata,
anoplura,Hoplopleura inagakii,
anoplura,Hoplopleura indiscreta,
anoplura,Hoplopleura inexpectans,
anoplura,Hoplopleura inexpectans occidentalis,Hoplopleura inexpectans
anoplura,Hoplopleura ingens,
anoplura,Hoplopleura intermedia,
anoplura,Hoplopleura inusitata,
anoplura,Hoplopleura irritans,
anoplura,Hoplopleura ismailiae,
anoplura,Hoplopleura janzeni,
anoplura,Hoplopleura johnsonae,
anoplura,Hoplopleura karachiensis,
anoplura,Hoplopleura khandala,
anoplura,Hoplopleura kitti,
anoplura,Hoplopleura kondana,
anoplura,Hoplopleura laticeps,
anoplura,Hoplopleura leucomus,
anoplura,Hoplopleura lineata,Hoplopleura longula
anoplura,Hoplopleura longula,
anoplura,Hoplopleura malabarica,
anoplura,Hoplopleura malaysiana,
anoplura,Hoplopleura maniculata,
anoplura,Hoplopleura massoiai,
anoplura,Hoplopleura mastacomydis,
anoplura,Hoplopleura melomydis,
anoplura,Hoplopleura mendezi,
anoplura,Hoplopleura mendozana,
anoplura,Hoplopleura meridionidis,
anoplura,Hoplopleura minasensis,
anoplura,Hoplopleura minuta,
anoplura,Hoplopleura misionalis,
anoplura,Hoplopleura misionensis,
anoplura,Hoplopleura mitsuii,Hoplopleura maniculata
anoplura,Hoplopleura mulleri,
anoplura,Hoplopleura multilobata,
anoplura,Hoplopleura murinus,
anoplura,Hoplopleura musculi,Hoplopleura captiosa
anoplura,Hoplopleura musseri,
anoplura,Hoplopleura mylomydis,
anoplura,Hoplopleura myomyis,
anoplura,Hoplopleura nasvikae,
anoplura,Hoplopleura neotomydis,
anoplura,Hoplopleura nesoryzomydis,
anoplura,Hoplopleura neumanni,
anoplura,Hoplopleura nicolai,
anoplura,Hoplopleura notomydis,
anoplura,Hoplopleura ochotonae,
anoplura,Hoplopleura octomydis,
anoplura,Hoplopleura oenomydis,
anoplura,Hoplopleura ondatraria,
anoplura,Hoplopleura onychomydis,
anoplura,Hoplopleura orinocoi,
anoplura,Hoplopleura oryzomydis,
anoplura,Hoplopleura oxymycteri,
anoplura,Hoplopleura pacifica,
anoplura,Hoplopleura pahari,
anoplura,Hoplopleura paranaensis,
anoplura,Hoplopleura patersoni,
anoplura,Hoplopleura pavlovskyi,
anoplura,Hoplopleura pectinata,
anoplura,Hoplopleura pelomydis,
anoplura,Hoplopleura phaiomydis,
anoplura,Hoplopleura quadridentata,
