label,pattern,replace,rank
anoplura,hoplopleura handleyi,,species
anoplura,hoplopleura hesperomydis,,species
anoplura,hoplopleura hesperomydis occidentalis,Hoplopleura hesperomydis,species
anoplura,hoplopleura himalayana,,species
anoplura,hoplopleura himenezumi,,species
anoplura,hoplopleura hirsuta,,species
anoplura,hoplopleura hispida,,species
anoplura,hoplopleura hybomyis,,species
anoplura,hoplopleura hylomysci,,species
anoplura,hoplopleura ileile,,species
anoplura,hoplopleura imitans,Pterophthirus imitans,species
anoplura,hoplopleura imparata,,species
anoplura,hoplopleura inagakii,,species
anoplura,hoplopleura indiscreta,,species
anoplura,hoplopleura inexpectans,,species
anoplura,hoplopleura inexpectans occidentalis,Hoplopleura inexpectans,species
anoplura,hoplopleura ingens,,species
anoplura,hoplopleura intermedia,,species
anoplura,hoplopleura inusitata,,species
anoplura,hoplopleura irritans,,species
anoplura,hoplopleura ismailiae,,species
anoplura,hoplopleura janzeni,,species
anoplura,hoplopleura johnsonae,,species
anoplura,hoplopleura karachiensis,,species
anoplura,hoplopleura khandala,,species
anoplura,hoplopleura kitti,,species
anoplura,hoplopleura kondana,,species
anoplura,hoplopleura laticeps,,species
anoplura,hoplopleura leucomus,,species
anoplura,hoplopleura lineata,Hoplopleura longula,species
anoplura,hoplopleura longula,,species
anoplura,hoplopleura malabarica,,species
anoplura,hoplopleura malaysiana,,species
anoplura,hoplopleura maniculata,,species
anoplura,hoplopleura massoiai,,species
anoplura,hoplopleura mastacomydis,,species
anoplura,hoplopleura melomydis,,species
anoplura,hoplopleura mendezi,,species
anoplura,hoplopleura mendozana,,species
anoplura,hoplopleura meridionidis,,species
anoplura,hoplopleura minasensis,,species
anoplura,hoplopleura minuta,,species
anoplura,hoplopleura misionalis,,species
anoplura,hoplopleura misionensis,,species
anoplura,hoplopleura mitsuii,Hoplopleura maniculata,species
anoplura,hoplopleura mulleri,,species
anoplura,hoplopleura multilobata,,species
anoplura,hoplopleura murinus,,species
anoplura,hoplopleura musculi,Hoplopleura captiosa,species
anoplura,hoplopleura musseri,,species
anoplura,hoplopleura mylomydis,,species
anoplura,hoplopleura myomyis,,species
anoplura,hoplopleura nasvikae,,species
anoplura,hoplopleura neotomydis,,species
anoplura,hoplopleura nesoryzomydis,,species
anoplura,hoplopleura neumanni,,species
anoplura,hoplopleura nicolai,,species
anoplura,hoplopleura notomydis,,species
anoplura,hoplopleura ochotonae,,species
anoplura,hoplopleura octomydis,,species
anoplura,hoplopleura oenomydis,,species
anoplura,hoplopleura ondatraria,,species
anoplura,hoplopleura onychomydis,,species
anoplura,hoplopleura orinocoi,,species
anoplura,hoplopleura oryzomydis,,species
anoplura,hoplopleura oxymycteri,,species
anoplura,hoplopleura pacifica,,species
