label,pattern,replace,rank
anoplura,echinophthirius sericans,Echinophthirius horridus,species
anoplura,echinophthirius sericeus,Echinophthirius horridus,species
anoplura,echinophthirius setosus,Echinophthirius horridus,species
anoplura,echinophthirius,Echinophthirius,genus
anoplura,enderleinellus arizonensis,Enderleinellus arizonensis,species
anoplura,enderleinellus blagoveshtchenskyi,Enderleinellus blagoveshtchenskyi,species
anoplura,enderleinellus brasiliensis,Enderleinellus brasiliensis,species
anoplura,enderleinellus corrugatus,Enderleinellus corrugatus,species
anoplura,enderleinellus deppei,Enderleinellus deppei,species
anoplura,enderleinellus disparilis,Enderleinellus disparilis,species
anoplura,enderleinellus dolichocephalus,Enderleinellus dolichocephalus,species
anoplura,enderleinellus dremomydis,Enderleinellus dremomydis,species
anoplura,enderleinellus euxeri,Enderleinellus euxeri,species
anoplura,enderleinellus extremus,Enderleinellus extremus,species
anoplura,enderleinellus ferrisi,Enderleinellus ferrisi,species
anoplura,enderleinellus gambiani,Enderleinellus gambiani,species
anoplura,enderleinellus heliosciuri,Enderleinellus heliosciuri,species
anoplura,enderleinellus hondurensis,Enderleinellus hondurensis,species
anoplura,enderleinellus insularis,Enderleinellus insularis,species
anoplura,enderleinellus kaibabensis,Enderleinellus kaibabensis,species
anoplura,enderleinellus kelloggi,Enderleinellus kelloggi,species
anoplura,enderleinellus krochinae,Enderleinellus krochinae,species
anoplura,enderleinellus kumadai,Enderleinellus kumadai,species
anoplura,enderleinellus laeviusculus,Linognathoides laeviusculus,species
anoplura,enderleinellus larisci,Enderleinellus larisci,species
anoplura,enderleinellus longiceps,Enderleinellus longiceps,species
anoplura,enderleinellus malaysianus,Enderleinellus malaysianus,species
anoplura,enderleinellus marmotae,Enderleinellus marmotae,species
anoplura,enderleinellus menetensis,Enderleinellus menetensis,species
anoplura,enderleinellus mexicanus,Enderleinellus mexicanus,species
anoplura,enderleinellus microsciuri,Enderleinellus microsciuri,species
anoplura,enderleinellus minutus,Werneckia minuta,species
anoplura,enderleinellus nannosciuri,Enderleinellus nannosciuri,species
anoplura,enderleinellus nayaritensis,Enderleinellus nayaritensis,species
anoplura,enderleinellus nishimarui,Enderleinellus nishimarui,species
anoplura,enderleinellus nitzschi,Enderleinellus nitzschi,species
anoplura,enderleinellus oculatus,Enderleinellus oculatus,species
anoplura,enderleinellus osborni,Enderleinellus osborni,species
anoplura,enderleinellus paralongiceps,Enderleinellus paralongiceps,species
anoplura,enderleinellus paraxeri,Werneckia paraxeri,species
anoplura,enderleinellus platyspicatus,Enderleinellus platyspicatus,species
anoplura,enderleinellus pratti,Enderleinellus pratti,species
anoplura,enderleinellus propinquus,Enderleinellus propinquus,species
anoplura,enderleinellus puvensis,Enderleinellus puvensis,species
anoplura,enderleinellus replicates,Enderleinellus replicates,species
anoplura,enderleinellus replicatus,Enderleinellus replicatus,species
anoplura,enderleinellus sciurotamiasis,Enderleinellus sciurotamiasis,species
anoplura,enderleinellus spaerocephalus,Enderleinellus nitzschi,species
anoplura,enderleinellus sphaerocephalus,Enderleinellus nitzschi,species
anoplura,enderleinellus suturalis occidentalis,Enderleinellus suturalis,species
anoplura,enderleinellus suturalis,Enderleinellus suturalis,species
anoplura,enderleinellus tamiasciuri,Enderleinellus tamiasciuri,species
anoplura,enderleinellus tamiasis,Enderleinellus tamiasis,species
anoplura,enderleinellus tamiopsis,Enderleinellus tamiopsis,species
anoplura,enderleinellus uncinatus,Microphthirus uncinatus,species
anoplura,enderleinellus urosciuri,Enderleinellus urosciuri,species
anoplura,enderleinellus venezuelae,Enderleinellus venezuelae,species
anoplura,enderleinellus zonatus,Enderleinellus zonatus,species
anoplura,enderleinellus,Enderleinellus,genus
anoplura,eremophthirius biseriatus,Polyplax biseriata,species
anoplura,eremophthirius ellobii,Polyplax ellobii,species
anoplura,eremophthirius eropepli,Polyplax eropepli,species
anoplura,eremophthirius gerbilli,Polyplax gerbilli,species
anoplura,eremophthirius praecisa,Polyplax praecisa,species
anoplura,eremophthirius stephensi,Polyplax stephensi,species
anoplura,eremophthirius subtaterae,Polyplax subtaterae,species
anoplura,eremophthirius tarsomydis,Polyplax tarsomydis,species
anoplura,eremophthirius taterae,Polyplax taterae,species
anoplura,eremophthirius werneri,Polyplax werneri,species
anoplura,eremophthirius,Eremophthirius,genus
anoplura,euendelerleinellus platyspicatus,Enderleinellus platyspicatus,species
anoplura,euendelerleinellus,Euendelerleinellus,genus
anoplura,euenderleinellus larisei,Enderleinellus larisci,species
anoplura,euenderleinellus menetensis,Enderleinellus menetensis,species
anoplura,euenderleinellus zonatus,Enderleinellus zonatus,species
anoplura,euenderleinellus,Euenderleinellus,genus
anoplura,euhaematopinus abnormis,Haematopinoides squamosus,species
anoplura,euhaematopinus,Euhaematopinus,genus
anoplura,euhoplopleura trispinosa,Hoplopleura trispinosa,species
anoplura,euhoplopleura,Euhoplopleura,genus
anoplura,eulinognathus aculeatus,Eulinognathus aculeatus,species
anoplura,eulinognathus alactaguli,Eulinognathus alactaguli,species
anoplura,eulinognathus allactagae,Eulinognathus allactagae,species
anoplura,eulinognathus americanus,Eulinognathus americanus,species
anoplura,eulinognathus biuncatus,Eulinognathus biuncatus,species
anoplura,eulinognathus bolivianus,Eulinognathus bolivianus,species
anoplura,eulinognathus cardiocranius,Eulinognathus cardiocranius,species
anoplura,eulinognathus caviae,Galeophthirus caviae,species
anoplura,eulinognathus crucuformis,Eulinognathus crucuformis,species
anoplura,eulinognathus denticulatus denticulatus,Eulinognathus denticulatus,species
anoplura,eulinognathus denticulatus surdasteri,Eulinognathus denticulatus,species
anoplura,eulinognathus denticulatus,Eulinognathus denticulatus,species
anoplura,eulinognathus dipodis,Eulinognathus dipodis,species
anoplura,eulinognathus elateri,Eulinognathus elateri,species
anoplura,eulinognathus eremodipodis,Eulinognathus eremodipodis,species
anoplura,eulinognathus euchoreutae,Eulinognathus euchoreutae,species
anoplura,eulinognathus euchoreutei,Eulinognathus euchoreutae,species
anoplura,eulinognathus gentilis,Eulinognathus gentilis,species
anoplura,eulinognathus hepperi,Eulinognathus hepperi,species
anoplura,eulinognathus hesperius,Eulinognathus hesperius,species
anoplura,eulinognathus hilli,Eulinognathus hilli,species
anoplura,eulinognathus hypogeomydis,Eulinognathus hypogeomydis,species
anoplura,eulinognathus inermis,Eulinognathus inermis,species
anoplura,eulinognathus jaculi,Eulinognathus jaculi,species
anoplura,eulinognathus lawrensis,Eulinognathus lawrensis,species
anoplura,eulinognathus lophiomydis,Eulinognathus lophiomydis,species
anoplura,eulinognathus maurii,Cuyana maurii,species
anoplura,eulinognathus parvus,Lagidiophthirus parvus,species
anoplura,eulinognathus patagonicus,Eulinognathus patagonicus,species
anoplura,eulinognathus pygerethmi,Eulinognathus pygerethmi,species
anoplura,eulinognathus scirtopodae,Eulinognathus scirtopodae,species
anoplura,eulinognathus tokmaki,Eulinognathus tokmaki,species
anoplura,eulinognathus torquatus,Eulinognathus torquatus,species
anoplura,eulinognathus wernecki,Eulinognathus wernecki,species
anoplura,eulinognathus,Eulinognathus,genus
anoplura,f. barrerae,Ferrisella barrerae,species
anoplura,f. boleni,Fahrenholzia boleni,species
anoplura,f. disgrega,Hoplopleura disgrega,species
anoplura,f. ehrlichi,Fahrenholzia ehrlichi,species
anoplura,f. emarginata,Paradoxophthirus emarginata,species
anoplura,f. fahrenholzi,Fahrenholzia pinnata,species
anoplura,f. fairchildi,Fahrenholzia fairchildi,species
anoplura,f. ferrisi,Fahrenholzia ferrisi,species
anoplura,f. hertigi,Fahrenholzia hertigi,species
anoplura,f. malaysiana,Hoplopleura malaysiana,species
anoplura,f. microcephala,Fahrenholzia microcephala,species
anoplura,f. ochotonae,Hoplopleura ochotonae,species
anoplura,f. pinnata,Fahrenholzia pinnata,species
anoplura,f. reducta,Fahrenholzia reducta,species
anoplura,f. schwartzi,Fahrenholzia schwartzi,species
anoplura,f. texana,Fahrenholzia texana,species
anoplura,f. tribulosa reducta,Fahrenholzia reducta,species
anoplura,f. tribulosa tribulosa,Fahrenholzia tribulosa,species
anoplura,f. tribulosa zacatecae,Fahrenholzia zacatecae,species
anoplura,f. tribulosa,Fahrenholzia tribulosa,species
anoplura,f. zacatecae,Fahrenholzia zacatecae,species
anoplura,fahrenholzia boleni,Fahrenholzia boleni,species
anoplura,fahrenholzia ehrlichi,Fahrenholzia ehrlichi,species
anoplura,fahrenholzia fahrenholzi,Fahrenholzia pinnata,species
anoplura,fahrenholzia fairchildi,Fahrenholzia fairchildi,species
anoplura,fahrenholzia ferrisi,Fahrenholzia ferrisi,species
anoplura,fahrenholzia hertigi,Fahrenholzia hertigi,species
anoplura,fahrenholzia microcephala,Fahrenholzia microcephala,species
anoplura,fahrenholzia pinnata,Fahrenholzia pinnata,species
anoplura,fahrenholzia reducta,Fahrenholzia reducta,species
anoplura,fahrenholzia schwartzi,Fahrenholzia schwartzi,species
anoplura,fahrenholzia texana,Fahrenholzia texana,species
anoplura,fahrenholzia tribulosa reducta,Fahrenholzia reducta,species
anoplura,fahrenholzia tribulosa tribulosa,Fahrenholzia tribulosa,species
anoplura,fahrenholzia tribulosa zacatecae,Fahrenholzia zacatecae,species
anoplura,fahrenholzia tribulosa,Fahrenholzia tribulosa,species
anoplura,fahrenholzia zacatecae,Fahrenholzia zacatecae,species
anoplura,fahrenholzia,Fahrenholzia,genus
